Title,Year,Publisher,Genre,Console
16t,1991,SEGA Enterprises Ltd.,Action,Sega Genesis
3 Ninjas Kick Back,1994,Sony Imagesoft,Action,Sega Genesis
688 Attack Sub,1991,"SEGA Enterprises Ltd., SEGA of America, Inc.",Simulation,Sega Genesis
6-PAK,1995,"SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Compilation,Sega Genesis
Aa Harimanada,1993,SEGA Enterprises Ltd.,"Action, Sports",Sega Genesis
Abrams Battle Tank,1991,"SEGA Enterprises Ltd., SEGA of America, Inc.",Simulation,Sega Genesis
Action 52,1993,Active Enterprises Ltd.,"Action, Compilation",Sega Genesis
The Addams Family,1993,"Flying Edge, Inc.",Action,Sega Genesis
Addams Family Values,1995,Ocean Software Ltd.,Action,Sega Genesis
A Dinosaur's Tale,1994,"Hi-Tech Expressions, Inc.",Action,Sega Genesis
Advanced Daisenryaku: Doitsu Dengeki Sakusen,1991,SEGA Enterprises Ltd.,Strategy / tactics,Sega Genesis
The Adventures of Batman & Robin,1995,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
The Adventures of Mighty Max,1994,Ocean Software Ltd.,Action,Sega Genesis
The Adventures of Rocky and Bullwinkle and Friends,1993,"Absolute Entertainment, Inc.",Action,Sega Genesis
Adventures of Yogi Bear,1994,Empire Interactive Entertainment,Action,Sega Genesis
Aerobiz,1992,"KOEI Co., Ltd., KOEI Corporation",Strategy / tactics,Sega Genesis
Aerobiz Supersonic,1994,"KOEI Co., Ltd., KOEI Corporation","Simulation, Strategy / tactics",Sega Genesis
Aero the Acro-Bat,1993,Sun Corporation of America,Action,Sega Genesis
Aero the Acro-Bat 2,1994,"Sun Corporation, Sun Corporation of America",Action,Sega Genesis
After Burner II,1990,"Micomsoft, SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Air Buster,1991,"Kaneko Co., Ltd., Kaneko USA, Ltd.",Action,Sega Genesis
Air Diver,1990,"Asmik Corporation, Seismic Software Inc.",Action,Sega Genesis
Alex Kidd in the Enchanted Castle,1989,"Samsung Electronics Co., Ltd., SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Alien³,1992,"Arena Entertainment, Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Alien Soldier,1995,SEGA Enterprises Ltd.,Action,Sega Genesis
Alien Storm,1991,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Alisia Dragoon,1992,"Game Arts Co., Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Allan Border's Cricket,1994,"Codemasters Software Company Limited, The",Sports,Sega Genesis
Altered Beast,1988,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
American Gladiators,1992,"GameTek, Inc.","Action, Simulation",Sega Genesis
Andre Agassi Tennis,1992,"TecMagik Entertainment Ltd., Tec Toy Indústria de Brinquedos S.A.",Sports,Sega Genesis
Animaniacs,1994,"Konami Deutschland GmbH, Konami (America), Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Arcade Classics,1996,"SEGA of America, Inc.",Compilation,Sega Genesis
Arch Rivals,1992,"Flying Edge, Inc.",Sports,Sega Genesis
Arcus Odyssey,1991,"Renovation Products, Inc., Wolf Team",Action,Sega Genesis
A Ressha de Ik? MD,1992,SEGA Enterprises Ltd.,"Simulation, Strategy / tactics",Sega Genesis
Arnold Palmer Tournament Golf,1989,"SEGA Enterprises Ltd., SEGA of America, Inc.",Sports,Sega Genesis
Arrow Flash,1990,"Renovation Products, Inc., SEGA Enterprises Ltd., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Art Alive,1991,"SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Educational,Sega Genesis
Art of Fighting,1994,"SEGA Enterprises Ltd., SEGA of America, Inc.",Action,Sega Genesis
Astérix and the Great Rescue,1993,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Astérix and the Power of the Gods,1995,SEGA Enterprises Ltd.,Action,Sega Genesis
Atomic Robo-Kid,1990,Treco,Action,Sega Genesis
ATP Tour Championship Tennis,1994,"SEGA of America, Inc.",Sports,Sega Genesis
Australian Rugby League,1994,"Electronic Arts, Inc.",Sports,Sega Genesis
Awesome Possum Kicks Dr. Machino's Butt,1993,"Tengen Inc., Tengen Ltd.",Action,Sega Genesis
Awogue,1991,SEGA Enterprises Ltd.,Action,Sega Genesis
AWS Pro Moves Soccer,1993,Asciiware,Sports,Sega Genesis
Ayrton Senna's Super Monaco GP II,1992,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.","Action, Racing / driving",Sega Genesis
Back to the Future Part III,1991,"Arena Entertainment, Image Works, Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Beyond Oasis,1994,"SEGA Enterprises Ltd., SEGA of America, Inc.","Action, Role-Playing (RPG)",Sega Genesis
Bible Adventures,1995,"Wisdom Tree, Inc.","Action, Educational",Sega Genesis
Bill Walsh College Football ,1993,"Electronic Arts, Inc.",Sports,Sega Genesis
Bill Walsh College Football 95,1994,"Electronic Arts, Inc.",Sports,Sega Genesis
Bimini Run,1990,Nuvision Entertainment,"Action, Racing / driving",Sega Genesis
Bio Hazard Battle,1992,"SEGA Enterprises Ltd., SEGA of America, Inc.",Action,Sega Genesis
Bio-Ship Paladin,1991,"UPL Co., Ltd",Action,Sega Genesis
Bish?jo Senshi Sailor Moon,1994,MA-BA Corp,Action,Sega Genesis
Blades of Vengeance,1993,"Electronic Arts, Inc., Electronic Arts Ltd.",Action,Sega Genesis
Blaster Master 2,1993,Sun Corporation of America,Action,Sega Genesis
Blockout,1991,"Electronic Arts, Inc., SEGA Enterprises Ltd.",Puzzle,Sega Genesis
B.O.B.,1993,"Electronic Arts, Inc., Electronic Arts Victor, Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Body Count,1994,"SEGA Enterprises Ltd., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Bonanza Bros.,1991,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Boogerman: A Pick and Flick Adventure,1994,"Interplay Productions, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Boxing Legends of the Ring,1993,Electro Brain Corp.,Sports,Sega Genesis
Bram Stoker's Dracula,1993,Sony Imagesoft,Action,Sega Genesis
Brave Battle Saga,1996,Piko Interactive LLC,Role-Playing (RPG),Sega Genesis
Brett Hull Hockey 95,1994,"Accolade, Inc.",Sports,Sega Genesis
Brian Lara Cricket '96,1996,"Codemasters Software Company Limited, The",Sports,Sega Genesis
Brutal: Paws of Fury,1994,"GameTek, Inc.",Action,Sega Genesis
Bubba 'N' Stix,1994,"Core Design Inc., Core Design Ltd.",Action,Sega Genesis
Bubble and Squeak,1994,Sun Corporation,Action,Sega Genesis
Bubsy II,1994,"Accolade, Inc.",Action,Sega Genesis
Bubsy in: Claws Encounters of the Furred Kind,1993,"Accolade, Inc.",Action,Sega Genesis
Buck Rogers: Countdown to Doomsday,1991,"Electronic Arts, Inc., Tec Toy Indústria de Brinquedos S.A.",Role-Playing (RPG),Sega Genesis
Budokan: The Martial Spirit,1990,"Electronic Arts, Inc.","Simulation, Sports",Sega Genesis
Bugs Bunny in Double Trouble,1996,"SEGA Enterprises Ltd., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Bulls vs. Blazers and the NBA Playoffs,1993,"Electronic Arts, Inc., Electronic Arts Victor",Sports,Sega Genesis
Bulls vs. Lakers and the NBA Playoffs,1992,"Electronic Arts, Inc., Electronic Arts Victor",Sports,Sega Genesis
