Title,Year,Publisher,Genre,Console
16-Bit Collection: Athena Vol. 1,2018,Retro-Bit,Compilation,Super Nintendo Entertainment System
16-Bit Collection: Culture Brain Vol. 1,2017,Retro-Bit,Compilation,Super Nintendo Entertainment System
16-Bit Collection: Culture Brain Vol. 2,2017,Retro-Bit,Compilation,Super Nintendo Entertainment System
16-Bit Collection: Culture Brain Vol. 3,2017,Retro-Bit,Compilation,Super Nintendo Entertainment System
16-Bit Collection: Data East Vol. 1,2017,Retro-Bit,"Action, Compilation, Puzzle",Super Nintendo Entertainment System
16-Bit Collection: Data East Vol. 2,2017,Retro-Bit,Compilation,Super Nintendo Entertainment System
16-Bit Collection: Data East Vol. 3,2017,Retro-Bit,Compilation,Super Nintendo Entertainment System
16-Bit Collection: Jaleco Vol. 1,2017,Retro-Bit,Compilation,Super Nintendo Entertainment System
3 Ninjas Kick Back,1994,Sony Imagesoft,Action,Super Nintendo Entertainment System
3x3 Eyes: J?ma H?kan,1995,"Banpresto Co., Ltd.",Action,Super Nintendo Entertainment System
3x3 Eyes: Seima K?rinden,1992,Yutaka,Role-Playing (RPG),Super Nintendo Entertainment System
The 7th Saga,1993,"Enix America Corporation, GAMEPLAN21",Role-Playing (RPG),Super Nintendo Entertainment System
90 Minutes: European Prime Goal,1995,"Namco Limited, Ocean Software Ltd.",Sports,Super Nintendo Entertainment System
ABC Monday Night Football,1993,"Data East Corporation, Data East USA, Inc.",Sports,Super Nintendo Entertainment System
Accele Brid,1993,"Tomy Company, Ltd.",Action,Super Nintendo Entertainment System
ACME Animation Factory,1994,Sun Corporation of America,Educational,Super Nintendo Entertainment System
Acrobat Mission,1992,"Teichiku Co., LTD.",Action,Super Nintendo Entertainment System
ActRaiser,1990,"Enix America Corporation, Enix Corporation","Action, Strategy / tactics",Super Nintendo Entertainment System
ActRaiser 2,1993,"Enix America Corporation, Enix Corporation",Action,Super Nintendo Entertainment System
The Addams Family: Pugsley's Scavenger Hunt,1993,"Ocean of America, Inc.",Action,Super Nintendo Entertainment System
The Addams Family,1992,"Misawa Entertainment Co.,Ltd., Ocean Europe Limited, Ocean of America, Inc.",Action,Super Nintendo Entertainment System
Addams Family Values,1995,Ocean Software Ltd.,Action,Super Nintendo Entertainment System
Advanced V.G.,1995,"Technical Group Laboratory, Inc.",Action,Super Nintendo Entertainment System
The Adventures of Batman & Robin,1994,"Konami Deutschland GmbH, Konami (America), Inc.",Action,Super Nintendo Entertainment System
The Adventures of Dr. Franken,1993,"DTMC, Inc.",Action,Super Nintendo Entertainment System
The Adventures of Mighty Max,1994,Ocean Software Ltd.,Action,Super Nintendo Entertainment System
The Adventures of Rocky and Bullwinkle and Friends,1993,THQ Inc.,Action,Super Nintendo Entertainment System
The Adventures of Tintin: Prisoners of the Sun,1996,Infogrames Europe SA,Action,Super Nintendo Entertainment System
